p[I[-]];[Hg[2+]]/0.1;[Pb[2+]]/0.1
0,459176876697095;4,15292180021871E-27;5,34999964734839E-7
0,453038126087254;4,03716270085355E-27;5,20087303948682E-7
0,446985535096767;3,92618780879712E-27;5,05790968454594E-7
0,44101672677662;3,8197369300787E-27;4,92077438775959E-7
0,43512942120144;3,71756732569726E-27;4,78915444071854E-7
0,429321430259835;3,61945232494438E-27;4,66275783498427E-7
0,423590652789767;3,52518006557592E-27;4,54131163911576E-7
0,417935070031899;3,4345523477419E-27;4,4245605222451E-7
0,412352741376294;3,34738359008439E-27;4,31226540927117E-7
0,406841800380047;3,26349987772501E-27;4,20420225442984E-7
0,401400451035391;3,18273809301246E-27;4,10016092147996E-7
0,396026964269622;3,10494512090843E-27;3,99994416004206E-7
0,390719674659755;3,02997712177619E-27;3,90336666876863E-7
0,385476977346317;2,95769886511559E-27;3,81025423702845E-7
0,380297325131942;2,88798311847593E-27;3,72044295767396E-7
0,375179225751667;2,82071008638511E-27;3,63377850424192E-7
0,370121239302866;2,7557668946705E-27;3,55011546663005E-7
0,365121975823746;2,69304711602231E-27;3,46931673990423E-7
0,360180093010318;2,63245033307346E-27;3,39125296143633E-7
0,355294294061937;2,5738817356372E-27;3,31580199204577E-7
0,350463325648016;2,51725174909837E-27;3,24284843727473E-7
0,345685975986304;2,46247569121633E-27;3,17228320526468E-7
0,340961073026559;2,40947345489665E-27;3,10400309808712E-7
0,336287482732334;2,35816921470475E-27;3,03791043365994E-7
0,331664107454643;2,30849115511313E-27;2,97391269566205E-7
0,327089884391694;2,26037121866184E-27;2,91192220910117E-7
0,322563784129256;2,21374487238188E-27;2,85185583940893E-7
0,318084809256663;2,16855089098333E-27;2,79363471313302E-7
0,313651993053799;2,12473115544695E-27;2,73718395847297E-7
0,30926439824473;2,08223046578111E-27;2,6824324640643E-7
0,304921115813973;2,0409963668167E-27;2,62931265455893E-7
0,300621263881662;2,0009789860127E-27;2,57776028167824E-7
0,296363986634124;1,96213088233516E-27;2,52771422953152E-7
0,292148453306627;1,92440690535391E-27;2,47911633309735E-7
0,287973857215265;1,88776406377501E-27;2,43191120886056E-7
0,28383941483518;1,85216140269352E-27;2,38604609668325E-7
0,279744364922459;1,8175598889118E-27;2,34147071206605E-7
0,275687967677264;1,78392230372324E-27;2,29813710802684E-7
0,271669503945886;1,751213142611E-27;2,25599954588775E-7
0,267688274459576;1,7193985213569E-27;2,21501437431986E-7
0,263743599108127;1,68844608809621E-27;2,17513991604797E-7
0,259834816246331;1,65832494089215E-27;2,13633636166585E-7
0,255961282031543;1,62900555043734E-27;2,09856567005653E-7
0,252122369790671;1,60045968752129E-27;2,06179147495223E-7
0,248317469415075;1,57266035493064E-27;2,02597899720496E-7
0,244545986781872;1,54558172347551E-27;1,99109496237243E-7
0,240807343200303;1,51919907185854E-27;1,95710752325439E-7
0,237100974881862;1,49348873012501E-27;1,92398618704229E-7
0,233426332432967;1,46842802645248E-27;1,89170174677104E-7
0,229782880369046;1,44399523705638E-27;1,8602262167849E-7
0,226170096648948;1,42016953900466E-27;1,829532771951E-7
